생활밀접업종 코드,생활밀접업종명,생활밀접업종 약어명,생활밀접업종 분류코드
47212,육류 소매업,육류 ,1
47213,건어물 및 젓갈류 소매업,건어물ㆍ젓갈류 ,1
47214,"신선, 냉동 및 기타 수산물 소매업",신선ㆍ냉동ㆍ수산물,1
47215,"채소, 과실 및 뿌리작물 소매업",채소과일,1
47217,건강 보조식품 소매업,건강보조식품,1
47218,조리 반찬류 소매업,조리반찬,1
47219,기타 식료품 소매업,기타 식료품,1
47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",컴퓨터ㆍ주변장치,1
47312,통신기기 소매업,핸드폰,1
47320,가전제품 소매업,가전제품,1
47411,남자용 겉옷 소매업,남자의류,1
47412,여자용 겉옷 소매업,여자의류,1
47413,속옷 및 잠옷 소매업,속옷ㆍ잠옷,1
47414,셔츠 및 블라우스 소매업,의류 상의,1
47416,가죽 및 모피 의복 소매업,가죽 및 모피 의복,1
47419,기타 의복 소매업,기타 의복,1
47421,가정용 직물제품 소매업,가정용 직물제품,1
47429,"섬유 원단, 실 및 기타 섬유제품 소매업",섬유제품,1
47430,신발 소매업,신발,1
47511,철물 및 난방용구 소매업,철물ㆍ난방용구 ,1
47513,"벽지, 마루덮개 및 장판류 소매업",벽지ㆍ마루ㆍ장판류 ,1
47519,"페인트, 창호 및 기타 건설자재 소매업",페인트ㆍ창호ㆍ건설자재,1
47520,가구 소매업,가구 ,1
47591,전기용품 및 조명장치 소매업,전기ㆍ조명 ,1
47592,"주방용품 및 가정용 유리, 요업제품 소매업",주방ㆍ가정유리ㆍ요업 ,1
47599,그 외 기타 분류 안된 가정용품 소매업,기타 가정용품,1
47611,"서적, 신문 및 잡지류 소매업",서적ㆍ신문ㆍ잡지류 ,1
47612,문구용품 및 회화용품 소매업,문구ㆍ회화용품 ,1
47631,운동 및 경기용품 소매업,운동ㆍ경기용품 ,1
47632,자전거 및 기타 운송장비 소매업,자전거ㆍ운송장비,1
47811,의약품 및 의료용품 소매업,의약품ㆍ의료용품 ,1
47812,의료용 기구 소매업,의료용 기구 ,1
47813,"화장품, 비누 및 방향제 소매업",화장품ㆍ비누ㆍ방향제,1
47822,안경 및 렌즈 소매업,안경ㆍ렌즈 ,1
47830,시계 및 귀금속 소매업,시계ㆍ귀금속 ,1
47851,화초 및 식물 소매업,화초ㆍ식물 ,1
47852,애완용 동물 및 관련용품 소매업,애완동물ㆍ관련용품 ,1
47911,전자상거래 소매 중개업,전자상거래 중개(소매),1
47912,전자상거래 소매업,전자상거래(소매),1
55102,여관업,여관업,2
55104,민박업,민박업,2
55109,기숙사 및 고시원 운영업,기숙사ㆍ고시원,2
55909,그 외 기타 숙박업,그 외 기타 숙박,2
56111,한식 일반 음식점업,한식 일반음식점,3
56112,한식 면 요리 전문점,한식 면요리 전문점,3
56113,한식 육류 요리 전문점,한식 육류요리 전문점,3
56114,한식 해산물 요리 전문점,한식 해산물요리 전문점,3
56121,중식 음식점업,중식 음식점,3
56122,일식 음식점업,일식 음식점,3
56123,서양식 음식점업,서양식 음식점,3
56129,기타 외국식 음식점업,기타 외국식 음식점,3
56191,제과점업,제과점업,3
56193,치킨 전문점,치킨 전문점,3
56194,김밥 및 기타 간이 음식점업,김밥ㆍ간이 음식점,3
56199,간이 음식 포장 판매 전문점,간이음식 포장전문점,3
56213,생맥주 전문점,생맥주 전문점,3
56219,기타 주점업,기타 주점업,3
56221,커피 전문점,커피 전문점,3
56229,기타 비알코올 음료점업,비알코올 음료점,3
68221,부동산 중개 및 대리업,부동산 중개업,2
85501,일반 교과학원,일반 교과학원,2
85502,방문 교육학원,방문 교육학원,2
85611,태권도 및 무술 교육기관,태권도ㆍ무술학원,2
85612,기타 스포츠 교육기관,기타 스포츠 학원,2
85614,청소년 수련시설 운영업,청소년 수련시설,2
85621,음악학원,음악학원,2
85622,미술학원,미술학원,2
85629,기타 예술학원,기타 예술학원,2
85631,외국어학원,외국어학원,2
85632,기타 교습학원,기타 교습학원,2
86201,일반의원,일반의원,2
86202,치과의원,치과의원,2
86203,한의원,한의원,2
91132,체력 단련시설 운영업,체력 단련시설,2
47122,체인화 편의점,편의점,1
47211,"곡물, 곡분 및 가축 사료 소매업",곡물ㆍ곡분ㆍ사료,1
47422,의복 액세서리 및 모조 장신구 소매업,의복 액세서리ㆍ장신구,1
47440,가방 및 기타 가죽제품 소매업,가방ㆍ기타 가죽,1
47121,슈퍼마켓,슈퍼마켓,1
47129,기타 음ㆍ식료품 위주 종합 소매업,기타 음ㆍ식료품 ,1
47640,"게임용구, 인형 및 장난감 소매업",게임ㆍ인형ㆍ장난감,1
56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",패스트푸드점,3
91135,당구장 운영업,당구장,2
91136,골프 연습장 운영업,골프 연습장,2
91222,컴퓨터 게임방 운영업,컴퓨터 게임방,2
91223,노래 연습장 운영업,노래 연습장,2
95212,자동차 전문 수리업,자동차 수리,2
95213,자동차 세차업,자동차 세차,2
95310,가전제품 수리업,가전제품 수리,2
96112,두발 미용업,두발 미용,2
96113,피부 미용업,피부 미용,2
96119,기타 미용업,기타 미용,2
96912,가정용 세탁업,가정용세탁,2
